epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,48.5683,0.92578,1.53368,1.0809,0.00667,1,0.25329,0.17731,1.00198,3.49836,1.02923,0.000411664,0.000411664,0.000411664
45,49.717,0.78597,1.33918,0.8573,0.00667,1,0.20367,0.11976,0.98654,3.45905,1.06143,0.000413976,0.000413976,0.000413976
46,50.8345,0.90825,1.26865,0.97493,0.00667,1,0.20367,0.11976,0.98654,3.45905,1.06143,0.000415958,0.000415958,0.000415958
47,51.9183,0.96814,1.48897,0.92002,0.00667,1,0.50511,0.22091,1.13529,3.42522,1.11666,0.00041761,0.00041761,0.00041761
48,52.967,0.81033,1.62964,0.83528,0.00667,1,0.50511,0.22091,1.13529,3.42522,1.11666,0.000418932,0.000418932,0.000418932
49,54.0843,0.96773,1.29374,1.01869,0.00668,1,0.52339,0.23541,1.22075,3.36749,1.04836,0.000419924,0.000419924,0.000419924
50,55.1028,0.94298,1.3087,0.951,0.00668,1,0.52339,0.23541,1.22075,3.36749,1.04836,0.000420586,0.000420586,0.000420586
51,56.1851,0.79329,2.1357,1.09968,0.00668,1,0.75225,0.44086,1.29491,3.20688,1.12118,0.000420918,0.000420918,0.000420918
52,57.2377,1.23087,1.43668,0.89643,0.00668,1,0.75225,0.44086,1.29491,3.20688,1.12118,0.000420919,0.000420919,0.000420919
53,58.3162,1.0869,1.68137,0.88766,0.00668,1,0.75225,0.44086,1.29491,3.20688,1.12118,0.000420591,0.000420591,0.000420591
54,59.4012,0.75748,1.45383,1.05436,0.00667,1,0.74738,0.52278,1.15159,3.12874,1.11587,0.000419932,0.000419932,0.000419932
55,60.4835,0.80892,1.20854,0.96883,0.00667,1,0.74738,0.52278,1.15159,3.12874,1.11587,0.000418944,0.000418944,0.000418944
56,61.5517,0.73472,2.02443,1.00896,0.00667,1,0.74738,0.52278,1.15159,3.12874,1.11587,0.000417625,0.000417625,0.000417625
57,62.6835,1.00679,1.14759,0.80985,0.00667,1,0.74722,0.57281,1.03857,3.18361,1.13462,0.000415977,0.000415977,0.000415977
58,63.7346,0.71052,1.23648,0.92108,0.00667,1,0.74722,0.57281,1.03857,3.18361,1.13462,0.000413998,0.000413998,0.000413998
59,64.817,0.66059,1.28608,0.8588,0.00667,1,0.74722,0.57281,1.03857,3.18361,1.13462,0.000411689,0.000411689,0.000411689
60,65.9171,0.65961,1.11196,0.94996,0.00667,1,0.50232,0.35197,0.87398,3.21163,1.12305,0.00040905,0.00040905,0.00040905
61,66.9996,0.74653,1.19169,0.97617,0.00667,1,0.50232,0.35197,0.87398,3.21163,1.12305,0.000406081,0.000406081,0.000406081
62,68.0908,0.64862,1.14147,0.88743,0.00667,1,0.50232,0.35197,0.87398,3.21163,1.12305,0.000402782,0.000402782,0.000402782
63,69.2161,0.72099,1.15682,0.8855,0.00668,1,0.58179,0.41554,0.88951,3.25298,1.11754,0.000399153,0.000399153,0.000399153
64,70.257,0.75813,1.78942,1.13118,0.00668,1,0.58179,0.41554,0.88951,3.25298,1.11754,0.000395194,0.000395194,0.000395194
65,71.2849,0.72624,1.10443,0.96977,0.00668,1,0.58179,0.41554,0.88951,3.25298,1.11754,0.000390905,0.000390905,0.000390905
66,72.3849,0.82857,1.3805,0.9785,0.00668,1,0.74725,0.56029,0.87074,3.1242,1.04506,0.000386286,0.000386286,0.000386286
67,73.4832,0.9364,1.64676,1.15584,0.00668,1,0.74725,0.56029,0.87074,3.1242,1.04506,0.000381336,0.000381336,0.000381336
68,74.5676,0.81139,1.53615,0.92346,0.00668,1,0.74725,0.56029,0.87074,3.1242,1.04506,0.000376057,0.000376057,0.000376057
