epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,72.3677,0.82519,0.59114,0.88212,0.96803,1,0.98022,0.69822,0.96605,0.63887,0.89504,0.00135056,0.00135056,0.00135056
43,74.7103,0.82077,0.58944,0.89552,0.96865,1,0.98217,0.71705,0.95049,0.62553,0.88447,0.00133472,0.00133472,0.00133472
44,77.4233,0.74751,0.55301,0.87508,0.96855,1,0.9829,0.72207,0.9367,0.61913,0.87814,0.00131888,0.00131888,0.00131888
45,80.0725,0.73537,0.62472,0.86297,0.97619,1,0.98254,0.70971,0.96118,0.62085,0.88886,0.00130304,0.00130304,0.00130304
46,82.5864,0.89946,0.62587,0.96463,0.97629,1,0.98509,0.70453,1.00576,0.63731,0.89945,0.0012872,0.0012872,0.0012872
47,85.2839,0.73338,0.53084,0.88105,0.9765,1,0.98627,0.73117,0.92589,0.64522,0.87671,0.00127136,0.00127136,0.00127136
48,87.9494,0.70277,0.537,0.86358,0.96691,1,0.98467,0.73989,0.8941,0.63249,0.86264,0.00125552,0.00125552,0.00125552
49,89.9987,0.78948,0.59819,0.8758,0.96944,0.99919,0.98253,0.70542,0.9473,0.63396,0.8694,0.00123968,0.00123968,0.00123968
50,91.6847,0.71039,0.56253,0.87772,0.96079,1,0.98098,0.67568,0.97799,0.63511,0.87845,0.00122384,0.00122384,0.00122384
51,93.3565,0.69954,0.5206,0.85237,0.96866,1,0.98192,0.68826,0.96189,0.6171,0.87524,0.001208,0.001208,0.001208
52,95.1378,0.74455,0.54786,0.86904,0.96867,1,0.98213,0.69417,0.99687,0.60731,0.88369,0.00119216,0.00119216,0.00119216
53,96.9071,0.80063,0.56174,0.87301,0.96863,1,0.98365,0.69159,0.98523,0.60967,0.89192,0.00117632,0.00117632,0.00117632
54,98.6811,0.70503,0.50691,0.86452,0.97598,1,0.98408,0.69516,0.9774,0.60469,0.88369,0.00116048,0.00116048,0.00116048
55,100.455,0.7341,0.54277,0.86805,0.96844,1,0.98098,0.68838,0.95661,0.6072,0.88373,0.00114464,0.00114464,0.00114464
56,102.198,0.68761,0.50941,0.8603,0.96806,1,0.98113,0.69663,0.93921,0.6092,0.88384,0.0011288,0.0011288,0.0011288
57,103.973,0.80488,0.6431,0.90745,0.97562,1,0.98215,0.70014,0.92734,0.60779,0.88202,0.00111296,0.00111296,0.00111296
58,105.772,0.74747,0.60794,0.86836,0.97344,1,0.98302,0.69167,0.9864,0.59361,0.89514,0.00109712,0.00109712,0.00109712
59,107.492,0.78549,0.56103,0.89074,0.97621,1,0.98182,0.67299,1.01967,0.58858,0.90381,0.00108128,0.00108128,0.00108128
60,109.26,0.76542,0.57201,0.85758,0.98448,0.99926,0.9843,0.71282,0.92375,0.56707,0.87626,0.00106544,0.00106544,0.00106544
61,111.044,0.80988,0.59231,0.86949,0.97787,1,0.98492,0.72957,0.89723,0.57213,0.8649,0.0010496,0.0010496,0.0010496
62,112.774,0.78126,0.54022,0.86544,0.97581,1,0.98313,0.69743,0.96935,0.60709,0.88301,0.00103376,0.00103376,0.00103376
63,114.552,0.72734,0.51264,0.87864,0.97583,1,0.98184,0.69744,0.95748,0.61689,0.8905,0.00101792,0.00101792,0.00101792
64,116.277,0.67541,0.50107,0.8581,0.9759,1,0.98203,0.71252,0.91736,0.61479,0.88146,0.00100208,0.00100208,0.00100208
65,118.029,0.81851,0.57169,0.85513,0.97655,1,0.98293,0.73315,0.92031,0.59391,0.8799,0.00098624,0.00098624,0.00098624
66,119.78,0.71969,0.53753,0.86195,0.9834,1,0.98451,0.70989,0.95309,0.5913,0.88846,0.0009704,0.0009704,0.0009704
67,121.511,0.77788,0.57484,0.90197,0.97605,1,0.98575,0.68004,1.01563,0.5858,0.90715,0.00095456,0.00095456,0.00095456
68,123.271,0.76246,0.53993,0.93471,0.97655,1,0.9863,0.69707,0.95473,0.56378,0.89119,0.00093872,0.00093872,0.00093872
69,125.01,0.81482,0.5139,0.87251,0.98384,1,0.98747,0.73686,0.90498,0.53863,0.87762,0.00092288,0.00092288,0.00092288
70,126.773,0.69907,0.54282,0.83766,0.98386,1,0.98821,0.72864,0.91991,0.53609,0.88017,0.00090704,0.00090704,0.00090704
71,128.519,0.78077,0.51718,0.85528,0.98395,1,0.98707,0.70386,0.96424,0.5477,0.8924,0.0008912,0.0008912,0.0008912
72,130.256,0.77325,0.50365,0.86969,0.9838,1,0.98674,0.71421,0.93153,0.53806,0.87884,0.00087536,0.00087536,0.00087536
73,132.01,0.80851,0.56158,0.94699,0.9838,1,0.98749,0.72659,0.9061,0.52804,0.86513,0.00085952,0.00085952,0.00085952
74,133.764,0.73385,0.49641,0.85628,0.98374,1,0.98796,0.70778,0.93572,0.52815,0.86883,0.00084368,0.00084368,0.00084368
75,135.528,0.69705,0.47872,0.85502,0.98381,1,0.98809,0.69183,1.00902,0.54806,0.88993,0.00082784,0.00082784,0.00082784
76,137.434,0.74735,0.55505,0.88329,0.98382,1,0.98841,0.69726,0.98655,0.556,0.88608,0.000812,0.000812,0.000812
77,139.243,0.71522,0.50012,0.8815,0.98387,1,0.98858,0.71551,0.93249,0.53462,0.87021,0.00079616,0.00079616,0.00079616
78,140.984,0.64852,0.48052,0.85798,0.98389,1,0.98882,0.72025,0.9085,0.51869,0.8683,0.00078032,0.00078032,0.00078032
79,142.751,0.63373,0.45689,0.86042,0.98385,1,0.98884,0.71019,0.92622,0.52345,0.87455,0.00076448,0.00076448,0.00076448
80,144.507,0.64808,0.49073,0.84995,0.9835,1,0.98843,0.69985,0.94144,0.5294,0.88056,0.00074864,0.00074864,0.00074864
81,146.243,0.66257,0.46955,0.8469,0.97962,0.99213,0.98793,0.71195,0.92159,0.52489,0.87551,0.0007328,0.0007328,0.0007328
82,147.98,0.79843,1.01524,0.90822,0.98254,1,0.98778,0.71201,0.9162,0.52676,0.87255,0.00071696,0.00071696,0.00071696
83,149.711,0.70935,0.49073,0.87077,0.96943,1,0.98629,0.68594,0.97577,0.54258,0.8861,0.00070112,0.00070112,0.00070112
84,151.43,0.73991,0.49439,0.83351,0.96872,1,0.98484,0.66136,1.0281,0.54841,0.90783,0.00068528,0.00068528,0.00068528
85,153.145,0.65973,0.48206,0.86065,0.97618,1,0.98304,0.68096,0.97669,0.54872,0.89364,0.00066944,0.00066944,0.00066944
86,154.835,0.64347,0.46309,0.85464,0.96818,1,0.9835,0.69252,0.96317,0.53734,0.88462,0.0006536,0.0006536,0.0006536
87,156.562,0.69477,0.55806,0.88894,0.98158,1,0.98523,0.71635,0.91123,0.53021,0.86729,0.00063776,0.00063776,0.00063776
88,158.327,0.64693,0.5535,0.85139,0.97448,1,0.98508,0.71345,0.9147,0.52121,0.86478,0.00062192,0.00062192,0.00062192
89,160.077,0.66087,0.5154,0.8426,0.98173,0.99213,0.98483,0.71024,0.93724,0.52681,0.86762,0.00060608,0.00060608,0.00060608
90,161.827,0.64065,0.47308,0.86003,0.97571,0.99213,0.98563,0.71353,0.93269,0.525,0.86891,0.00059024,0.00059024,0.00059024
91,163.59,0.68304,0.46527,0.84389,0.96964,0.98425,0.98554,0.70216,0.95971,0.52629,0.87351,0.0005744,0.0005744,0.0005744
92,165.345,0.73354,0.47695,0.90369,0.97733,0.99213,0.98583,0.69883,0.96954,0.53215,0.87659,0.00055856,0.00055856,0.00055856
93,167.097,0.66409,0.45892,0.85732,0.97621,0.99213,0.98503,0.67994,0.99178,0.52997,0.88313,0.00054272,0.00054272,0.00054272
94,168.796,0.65982,0.49509,0.83249,0.98311,1,0.98609,0.67495,0.98619,0.52945,0.88295,0.00052688,0.00052688,0.00052688
