epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52098,2.21579,5.79919,1.96772,0,0,0,0,2.01856,5.39973,2.0521,0,0,0
2,11.057,2.09962,5.52299,2.00567,0,0,0,0,1.97853,5.34889,2.02349,1.50197e-05,1.50197e-05,1.50197e-05
3,16.5457,2.43889,6.01196,2.14519,0,0,0,0,1.90447,5.37576,1.98035,2.67387e-05,2.67387e-05,2.67387e-05
4,21.8748,1.89866,5.57395,1.86271,0,0,0,0,1.82568,5.27252,1.93089,3.5157e-05,3.5157e-05,3.5157e-05
5,27.5049,1.62973,5.10736,1.61349,0,0,0,0,1.77285,5.1176,1.84941,4.02747e-05,4.02747e-05,4.02747e-05
6,33.3538,2.34412,5.56778,1.87648,0.00026,0.0625,0.00017,2e-05,1.70479,4.98422,1.77691,4.20917e-05,4.20917e-05,4.20917e-05
7,38.958,1.56642,4.76444,1.54213,0.00025,0.0625,0.00018,5e-05,1.63964,4.9317,1.69253,4.06081e-05,4.06081e-05,4.06081e-05
8,44.7071,1.34332,4.83114,1.45286,0.00025,0.0625,0.00016,5e-05,1.57725,4.88308,1.63718,3.58238e-05,3.58238e-05,3.58238e-05
9,50.5068,1.56086,4.78732,1.4678,0.00045,0.10417,0.00026,0.00013,1.54565,4.85317,1.59179,2.77389e-05,2.77389e-05,2.77389e-05
10,56.2376,1.38174,5.03399,1.42479,0.0007,0.16667,0.00066,0.00021,1.52413,4.83086,1.56235,1.63533e-05,1.63533e-05,1.63533e-05
