epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.67552,2.03269,4.42419,1.77389,0.00055,0.08333,0.00033,7e-05,1.60116,4.28395,1.7416,1.667e-05,1.667e-05,1.667e-05
2,12.6269,1.71608,4.29719,1.60412,0.00118,0.16667,0.00085,0.00016,1.25435,4.09769,1.48749,4.95149e-05,4.95149e-05,4.95149e-05
3,18.5805,1.14787,3.99445,1.26295,0.00355,0.5,0.05939,0.02792,1.12163,3.95331,1.25611,8.16997e-05,8.16997e-05,8.16997e-05
4,24.7287,1.07752,3.70941,1.09758,0.00667,1,0.4817,0.31975,1.24814,3.67103,0.99269,0.000113224,0.000113224,0.000113224
5,30.7788,0.89646,3.27045,0.92794,0.00679,1,0.50228,0.38425,1.11182,3.50864,0.91042,0.000144089,0.000144089,0.000144089
6,36.708,0.87174,3.09851,0.9206,0.00705,1,0.48255,0.34337,1.0895,3.48321,0.93883,0.000174293,0.000174293,0.000174293
7,42.6087,0.86785,2.72702,0.88936,0.00702,1,0.48225,0.33261,1.02203,3.42525,0.91965,0.000203837,0.000203837,0.000203837
8,48.5306,0.90042,2.37376,0.91056,0.00675,1,0.43813,0.20252,1.06026,3.4905,0.91996,0.000232722,0.000232722,0.000232722
9,54.3797,0.87225,2.08949,0.87758,0.00673,1,0.43728,0.21132,1.11177,3.355,0.90778,0.000260946,0.000260946,0.000260946
10,60.5114,0.93763,1.97215,0.87402,0.0067,1,0.48145,0.29584,0.96821,3.21637,0.86628,0.000288509,0.000288509,0.000288509
11,66.3285,0.90896,1.69053,0.86228,0.0067,1,0.50219,0.26312,1.02977,3.24949,0.86003,0.000315413,0.000315413,0.000315413
12,72.2243,0.90654,1.55812,0.91563,0.00668,1,0.52204,0.3023,0.97538,3.21115,0.84406,0.000341657,0.000341657,0.000341657
13,78.2505,0.94549,1.48485,0.87977,0.00667,1,0.50893,0.31838,0.91357,3.18493,0.84984,0.00036724,0.00036724,0.00036724
14,84.3342,0.9592,1.58218,0.93241,0.00667,1,0.50213,0.31331,0.856,3.20402,0.83749,0.000392163,0.000392163,0.000392163
15,90.5472,0.87688,1.33974,0.91603,0.00667,1,0.50216,0.38384,0.87949,3.2031,0.86738,0.000416427,0.000416427,0.000416427
16,96.9189,0.98692,1.35045,0.92209,0.00667,1,0.50148,0.27906,0.99211,3.37697,0.95444,0.00044003,0.00044003,0.00044003
17,103.139,0.89351,1.45236,0.88738,0.00614,0.91667,0.50012,0.32549,0.96841,3.46064,0.99105,0.000462973,0.000462973,0.000462973
18,109.988,0.93057,1.52273,0.89526,0.00668,1,0.50184,0.35346,1.00992,3.35985,0.92623,0.000485255,0.000485255,0.000485255
19,116.423,0.98498,1.35713,0.92021,0.00667,1,0.50195,0.31015,0.99795,3.29044,0.88553,0.000506878,0.000506878,0.000506878
20,123.346,0.89993,1.25189,0.87207,0.00667,1,0.50196,0.30385,0.9653,3.27622,0.87022,0.000527841,0.000527841,0.000527841
21,129.924,0.93539,1.29286,0.9225,0.00669,1,0.50196,0.38344,0.95552,3.25688,0.85783,0.000548143,0.000548143,0.000548143
22,136.384,0.93022,1.40151,0.91619,0.00669,1,0.50191,0.4007,1.02141,3.29993,0.87521,0.000567785,0.000567785,0.000567785
23,142.833,0.99339,1.33376,0.93109,0.0067,1,0.50194,0.36289,1.07554,3.31363,0.90101,0.000586767,0.000586767,0.000586767
24,149.234,0.9604,1.1975,0.90826,0.00669,1,0.46616,0.33935,0.99475,3.29522,0.8889,0.000605089,0.000605089,0.000605089
25,155.65,0.88028,1.15211,0.86897,0.00668,1,0.50209,0.3618,0.91238,3.20507,0.87557,0.000622751,0.000622751,0.000622751
26,162.083,0.97098,1.19548,0.90726,0.00671,1,0.62148,0.47134,0.89082,3.11882,0.8443,0.000639753,0.000639753,0.000639753
27,168.505,0.94721,1.19116,0.89904,0.00674,1,0.91578,0.60949,1.08285,2.95273,0.88295,0.000656095,0.000656095,0.000656095
28,174.933,1.11193,1.2049,0.93692,0.00674,1,0.91578,0.60949,1.08285,2.95273,0.88295,0.000671776,0.000671776,0.000671776
29,181.35,0.94532,1.24862,0.90699,0.8915,0.5,0.92671,0.6037,0.95294,2.80494,0.8493,0.000686797,0.000686797,0.000686797
30,188.337,0.94013,1.2177,0.95624,1,0.46576,0.995,0.6405,0.95996,2.67717,0.84222,0.000701159,0.000701159,0.000701159
31,194.952,0.87526,1.0823,0.87285,1,0.46576,0.995,0.6405,0.95996,2.67717,0.84222,0.00071486,0.00071486,0.00071486
32,201.406,0.85172,1.07196,0.8703,1,0.48093,0.995,0.63598,1.0633,2.62641,0.84678,0.000727901,0.000727901,0.000727901
33,207.41,0.8801,1.10884,0.89186,1,0.46711,0.995,0.64988,0.9938,2.56305,0.84005,0.000740281,0.000740281,0.000740281
34,213.469,0.87531,0.99473,0.88132,1,0.46711,0.995,0.64988,0.9938,2.56305,0.84005,0.000752002,0.000752002,0.000752002
35,219.753,0.84638,1.05508,0.90529,1,0.46331,0.995,0.7513,0.87524,2.56359,0.83438,0.000763063,0.000763063,0.000763063
36,226.091,0.83267,1.07008,0.8927,1,0.48699,0.995,0.77164,0.87936,2.52585,0.8379,0.000773463,0.000773463,0.000773463
37,232.562,0.80318,1.04203,0.86442,1,0.48699,0.995,0.77164,0.87936,2.52585,0.8379,0.000783203,0.000783203,0.000783203
38,238.898,0.87024,1.10639,0.89159,1,0.48706,0.995,0.73451,0.9228,2.48357,0.85136,0.000792283,0.000792283,0.000792283
39,245.14,0.88511,1.17097,0.91585,1,0.67106,0.995,0.75244,0.90418,2.41159,0.8408,0.000800703,0.000800703,0.000800703
40,251.42,0.84868,1.00591,0.89089,1,0.67106,0.995,0.75244,0.90418,2.41159,0.8408,0.000808463,0.000808463,0.000808463
